Granulometría,Dieta,Media,Cantidad,Mínimo,P25,Mediana,P75,Máximo,Desviación estandar,Varianza,Error estandar
Malla 12%,C.GESTACION ESP P,0.5,54,0.04,0.36,0.44,0.6,1.12,0.23,0.05,0.03
Malla 12%,C.GESTACION P,0.57,70,0.04,0.36,0.46,0.82,1.36,0.29,0.09,0.03
Malla 12%,C.GESTACIÓN P CUARENTENA,0.73,6,0.24,0.64,0.75,0.96,1.01,0.29,0.08,0.12
Malla 12%,C.INICIACIÓN P INMUNIDAD,0.52,150,0.04,0.32,0.47,0.67,1.28,0.24,0.06,0.02
Malla 12%,C.LACTANCIA PRIMERIZAS ESP P,0.56,64,0.04,0.44,0.52,0.72,1.56,0.23,0.05,0.03
Malla 12%,C.LACTANCIA PRIMERIZAS P,0.8,45,0.16,0.44,0.68,1.04,4.9,0.72,0.51,0.11
Malla 12%,C.LACTANCIA PRIMERIZAS.,0.58,7,0.44,0.48,0.56,0.6,0.88,0.15,0.02,0.06
Malla 12%,C.LACTANCIA SILO H. ALIAR,0.63,12,0.18,0.28,0.5,0.73,1.75,0.47,0.22,0.14
Malla 12%,C.LEVANTE P,0.57,27,0.24,0.34,0.4,0.54,1.56,0.36,0.13,0.07
Malla 12%,C.LEVANTE P CMC,0.51,30,0.04,0.33,0.46,0.59,1.04,0.26,0.07,0.05
Malla 12%,C.LEVANTE VR P,0.66,152,0.16,0.44,0.52,0.89,1.72,0.34,0.11,0.03
Malla 12%,C.MACHOS ESP 113,0.69,12,0.24,0.35,0.58,1.04,1.28,0.4,0.16,0.12
Malla 12%,C.NOVILLAS CEBA,3.59,11,2.54,3.38,3.72,3.88,4.16,0.47,0.22,0.14
Malla 12%,C.NOVILLAS LEVANTE,4.09,10,3.1,3.36,3.8,4.02,7.92,1.4,1.96,0.44
Malla 12%,C.NOVILLAS P ALIAR,0.41,11,0.16,0.28,0.36,0.46,1.04,0.24,0.06,0.07
Malla 12%,C.PREINICIACIÓN F1 P INMUNIDAD,0.57,30,0.24,0.32,0.42,0.73,1.4,0.35,0.12,0.06
Malla 12%,C.PREINICIACIÓN F2 P INMUNIDAD,0.58,30,0.16,0.32,0.44,0.85,1.36,0.34,0.11,0.06
Malla 12%,C.PRELACTANCIA H. ALIAR,0.62,7,0.32,0.44,0.68,0.74,1.0,0.24,0.06,0.09
Malla 12%,C.REEMPLAZOS P SI-B,0.54,32,0.24,0.35,0.46,0.65,1.44,0.28,0.08,0.05
Malla 12%,C.TERNERAS H. ALIAR,0.29,11,0.08,0.16,0.32,0.36,0.64,0.16,0.03,0.05
Malla 12%,FINALIZADOR VR,0.68,206,0.13,0.4,0.52,0.91,2.56,0.42,0.18,0.03
Malla 12%,LEVANTE R ESP VR,0.63,158,0.2,0.44,0.56,0.72,7.2,0.58,0.33,0.05
Malla 14%,C.ENGORDE ESP VR,3.75,70,2.16,3.24,3.68,4.16,6.52,0.84,0.7,0.1
Malla 14%,C.FINALIZADOR P,3.81,19,1.76,3.02,3.44,4.94,6.48,1.32,1.74,0.29
Malla 14%,C.GESTACION ESP 2,3.12,9,2.32,2.6,3.32,3.72,3.84,0.63,0.39,0.21
Malla 14%,C.GESTACION ESP P,3.24,54,0.12,2.84,3.36,3.85,5.68,0.92,0.85,0.13
Malla 14%,C.GESTACION P,3.55,70,0.76,2.89,3.44,4.23,5.4,1.01,1.02,0.12
Malla 14%,C.GESTACIÓN P CUARENTENA,3.83,6,2.72,3.29,3.84,4.21,5.12,0.85,0.72,0.35
Malla 14%,C.INICIACIÓN P INMUNIDAD,3.2,150,0.08,2.52,3.16,3.79,6.44,0.98,0.97,0.08
Malla 14%,C.LACTANCIA PRIMERIZAS ESP P,3.67,64,0.12,3.16,3.64,4.26,6.68,1.03,1.07,0.13
Malla 14%,C.LACTANCIA PRIMERIZAS P,4.09,45,2.24,3.28,3.92,4.76,7.84,1.17,1.38,0.18
Malla 14%,C.LACTANCIA PRIMERIZAS.,3.61,7,3.12,3.24,3.4,3.84,4.62,0.53,0.28,0.2
Malla 14%,C.LACTANCIA SILO H. ALIAR,2.93,12,1.88,2.01,2.88,3.4,4.8,0.93,0.86,0.27
Malla 14%,C.LEVANTE P,3.7,27,1.84,2.9,3.28,4.62,6.32,1.33,1.76,0.26
Malla 14%,C.LEVANTE P CMC,3.25,30,0.88,2.75,3.34,3.91,4.8,0.93,0.86,0.17
Malla 14%,C.LEVANTE VR P,3.91,152,2.24,3.24,3.72,4.24,7.32,0.94,0.89,0.08
Malla 14%,C.MACHOS ESP 113,3.87,12,1.96,2.61,3.66,5.23,6.0,1.4,1.95,0.4
Malla 14%,C.NOVILLAS CEBA,7.35,11,5.92,7.14,7.52,7.72,8.08,0.61,0.38,0.18
Malla 14%,C.NOVILLAS LEVANTE,7.29,10,4.88,6.98,7.54,7.83,8.4,1.0,1.01,0.32
Malla 14%,C.NOVILLAS P ALIAR,3.14,11,1.24,2.34,3.08,3.66,6.2,1.33,1.77,0.4
Malla 14%,C.PREINICIACIÓN F1 P INMUNIDAD,2.18,30,0.92,1.48,2.0,2.63,4.21,0.89,0.8,0.16
Malla 14%,C.PREINICIACIÓN F2 P INMUNIDAD,2.43,30,1.52,1.88,2.16,2.67,4.36,0.85,0.72,0.15
Malla 14%,C.PRELACTANCIA H. ALIAR,2.75,7,2.08,2.32,2.56,3.22,3.56,0.57,0.33,0.22
Malla 14%,C.REEMPLAZOS P SI-B,3.41,32,2.04,2.95,3.32,3.78,6.12,0.89,0.78,0.15
Malla 14%,C.TERNERAS H. ALIAR,2.39,11,1.4,1.62,2.48,2.88,3.92,0.82,0.67,0.25
Malla 14%,FINALIZADOR VR,3.75,206,0.24,3.09,3.52,4.28,10.3,1.08,1.17,0.08
Malla 14%,LEVANTE R ESP VR,3.63,158,1.72,3.06,3.6,4.16,7.32,0.87,0.76,0.07
Malla 16%,C.ENGORDE ESP VR,4.03,70,2.88,3.66,3.96,4.28,6.64,0.7,0.48,0.08
Malla 16%,C.FINALIZADOR P,3.97,19,2.44,3.52,4.12,4.44,5.56,0.91,0.83,0.2
Malla 16%,C.GESTACION ESP 2,3.5,9,2.92,3.12,3.44,3.84,4.28,0.47,0.22,0.16
Malla 16%,C.GESTACION ESP P,3.67,54,0.16,3.37,3.84,4.07,5.04,0.78,0.6,0.11
Malla 16%,C.GESTACION P,3.78,70,0.72,3.44,3.84,4.15,4.84,0.6,0.36,0.07
Malla 16%,C.GESTACIÓN P CUARENTENA,4.01,6,3.48,3.64,3.98,4.18,4.84,0.5,0.25,0.2
Malla 16%,C.INICIACIÓN P INMUNIDAD,3.48,150,0.12,3.12,3.5,3.88,5.36,0.68,0.46,0.06
Malla 16%,C.LACTANCIA PRIMERIZAS ESP P,3.98,64,0.08,3.55,4.0,4.57,6.28,0.96,0.91,0.12
Malla 16%,C.LACTANCIA PRIMERIZAS P,3.99,45,3.12,3.72,3.96,4.24,7.04,0.66,0.43,0.1
Malla 16%,C.LACTANCIA PRIMERIZAS.,4.06,7,3.44,3.84,4.0,4.32,4.64,0.41,0.16,0.15
Malla 16%,C.LACTANCIA SILO H. ALIAR,3.29,12,2.32,2.79,3.36,3.81,3.88,0.55,0.3,0.16
Malla 16%,C.LEVANTE P,3.84,27,2.24,3.55,4.0,4.08,5.0,0.65,0.42,0.13
Malla 16%,C.LEVANTE P CMC,3.64,30,1.84,3.32,3.89,4.12,4.52,0.71,0.5,0.13
Malla 16%,C.LEVANTE VR P,4.01,152,2.96,3.6,3.98,4.33,6.16,0.59,0.35,0.05
Malla 16%,C.MACHOS ESP 113,3.61,12,1.04,3.19,3.76,4.37,4.92,1.08,1.16,0.31
Malla 16%,C.NOVILLAS CEBA,5.37,11,4.04,4.42,4.6,5.2,11.2,2.08,4.32,0.63
Malla 16%,C.NOVILLAS LEVANTE,4.45,9,3.8,4.16,4.36,4.72,5.2,0.45,0.21,0.14
Malla 16%,C.NOVILLAS P ALIAR,3.48,11,2.04,2.88,3.48,3.98,5.04,0.83,0.69,0.25
Malla 16%,C.PREINICIACIÓN F1 P INMUNIDAD,2.29,30,1.28,1.85,2.22,2.65,4.04,0.68,0.47,0.12
Malla 16%,C.PREINICIACIÓN F2 P INMUNIDAD,2.61,30,1.84,2.21,2.54,2.93,3.68,0.5,0.25,0.09
Malla 16%,C.PRELACTANCIA H. ALIAR,3.27,7,2.48,3.04,3.2,3.5,4.12,0.51,0.26,0.19
Malla 16%,C.REEMPLAZOS P SI-B,3.8,32,2.72,3.38,3.8,4.08,5.4,0.58,0.34,0.1
Malla 16%,C.TERNERAS H. ALIAR,2.99,11,2.12,2.44,2.96,3.36,4.4,0.71,0.5,0.21
Malla 16%,FINALIZADOR VR,3.96,206,0.4,3.49,3.96,4.35,11.2,0.84,0.71,0.06
Malla 16%,LEVANTE R ESP VR,3.89,158,0.56,3.48,3.96,4.28,5.4,0.63,0.4,0.05
Pan,C.ENGORDE ESP VR,91.34,70,85.76,90.44,91.4,92.26,94.24,1.52,2.31,0.18
Pan,C.FINALIZADOR P,91.14,19,86.0,89.18,91.96,92.52,95.4,2.6,6.77,0.58
Pan,C.GESTACION ESP 2,92.72,9,91.24,91.72,92.36,93.84,94.12,1.14,1.29,0.38
Pan,C.GESTACION ESP P,92.32,54,87.8,91.28,92.26,92.99,99.64,1.77,3.14,0.24
Pan,C.GESTACION P,91.88,69,87.6,90.8,92.2,93.28,95.48,1.69,2.86,0.2
Pan,C.GESTACIÓN P CUARENTENA,91.16,6,88.88,90.72,91.26,91.47,93.48,1.49,2.21,0.61
Pan,C.INICIACIÓN P INMUNIDAD,92.43,150,86.08,91.42,92.54,93.52,99.72,1.83,3.34,0.15
Pan,C.LACTANCIA PRIMERIZAS ESP P,91.46,64,84.88,90.16,91.46,92.44,99.72,2.17,4.7,0.27
Pan,C.LACTANCIA PRIMERIZAS P,90.72,45,81.06,90.04,91.24,92.36,94.2,2.48,6.13,0.37
Pan,C.LACTANCIA PRIMERIZAS.,91.39,7,90.28,90.59,91.08,92.32,92.52,0.97,0.94,0.37
Pan,C.LACTANCIA SILO H. ALIAR,92.88,12,88.72,91.92,92.48,94.85,95.4,1.99,3.94,0.57
Pan,C.LEVANTE P,91.6,27,86.6,90.41,92.08,93.14,95.12,2.16,4.65,0.41
Pan,C.LEVANTE P CMC,92.42,29,89.2,91.36,92.0,93.12,96.84,1.71,2.94,0.31
Pan,C.LEVANTE VR P,91.1,152,84.6,90.39,91.41,92.25,100.0,1.88,3.52,0.15
Pan,C.MACHOS ESP 113,91.51,12,87.24,89.46,92.3,93.49,94.92,2.52,6.36,0.73
Pan,C.NOVILLAS CEBA,74.24,11,67.96,72.7,74.56,76.54,77.78,2.94,8.64,0.89
Pan,C.NOVILLAS LEVANTE,75.69,10,67.74,73.0,74.06,77.83,85.04,5.21,27.15,1.65
Pan,C.NOVILLAS P ALIAR,92.83,11,90.28,91.78,92.46,93.93,95.96,1.65,2.72,0.5
Pan,C.PREINICIACIÓN F1 P INMUNIDAD,94.45,29,90.6,93.46,94.68,95.8,97.2,1.77,3.13,0.32
Pan,C.PREINICIACIÓN F2 P INMUNIDAD,93.53,30,80.28,93.3,94.16,95.03,95.88,2.88,8.28,0.51
Pan,C.PRELACTANCIA H. ALIAR,89.1,7,86.92,87.02,88.6,90.72,92.68,2.53,6.42,0.96
Pan,C.REEMPLAZOS P SI-B,92.01,32,86.28,91.31,92.3,92.97,94.84,1.72,2.96,0.3
Pan,C.TERNERAS H. ALIAR,94.2,11,90.88,93.22,94.32,95.54,96.28,1.64,2.7,0.5
Pan,FINALIZADOR VR,91.22,206,74.66,90.08,91.64,92.56,100.0,2.25,5.05,0.16
Pan,LEVANTE R ESP VR,91.49,158,82.8,90.28,91.56,92.56,95.16,1.79,3.2,0.14
